"medical structure;Latitude;Longitude"
"hopital central;3.5216;11.3037"
"cité verte;3.5234;11.2922"
"hopital de district efoulan;3.5003;11.3022"
"CS providence;3.5406;11.3334"
"hopital jamot;3.5359;11.3115"
"hopital de la caisse;3.5218;11.3155"
"hopital militaire;3.5115;11.3100"
"hopital general;3.5424;11.3231"
"hopital de djoungolo;3.5301;11.3117"
"cury;3.5213;11.3037"
"hopital des soeurs;3.5142;11.2651"
"hopital ecole des polices;3.5251;11.3042"
"clinique de la beac;3.5218;11.3058"
"chu;3.5145;11.2947"
"clinique du golf;3.5411;11.3009"
"cs la paix;3.5224;11.2921"
"centre hospitalier dominicain;3.5137;11.2836"
